line,totn,tot,missingrate
B73,47163,13771818,0.0034246023291914
LH1,836572,13771818,0.0607452117069802
MO17,1102440,13771818,0.0800504334286149
PHG35,904282,13771818,0.0656617739212063
PHG47,1035024,13771818,0.0751552191584292
PHJ40,901406,13771818,0.0654529416522931
LH123HT,1380644,13771818,0.100251397455296
LH82,1087251,13771818,0.0789475289319101
PH207,1314845,13771818,0.0954735968773331
PHG39,1006795,13771818,0.073105453470268
PHG84,946715,13771818,0.0687429212323311
PHZ51,1045249,13771818,0.0758976774163004
