file,genvar,resvar,totvar,h2,trait,mode,ptype
asi_a2,0.152128,0.15695,0.309078,0.492199,asi,a2,perse
asi_d2,0.144275,0.161869,0.306144,0.471265,asi,d2,perse
asi_h2,0.16235,0.14586,0.30821,0.526752,asi,h2,perse
dtp_a2,5.19211,0.197183,5.38929,0.963412,dtp,a2,perse
dtp_d2,3.9747,1.29918,5.27388,0.753658,dtp,d2,perse
dtp_h2,4.6719,0.656733,5.32863,0.876754,dtp,h2,perse
dts_a2,6.07394,0.196634,6.27058,0.968642,dts,a2,perse
dts_d2,4.80698,1.33905,6.14603,0.782128,dts,d2,perse
dts_h2,5.58733,0.633641,6.22097,0.898144,dts,h2,perse
eht_a2,123.614,16.3818,139.996,0.882984,eht,a2,perse
eht_d2,92.2151,44.3623,136.577,0.675186,eht,d2,perse
eht_h2,130.248,10.1282,140.376,0.92785,eht,h2,perse
gy_a2,67.6772,98.8862,166.563,0.406315,gy,a2,perse
gy_d2,52.0345,111.664,163.699,0.317868,gy,d2,perse
gy_h2,109.526,59.9367,169.463,0.646313,gy,h2,perse
pht_a2,380.364,43.6898,424.054,0.896971,pht,a2,perse
pht_d2,287.365,127.837,415.203,0.692109,pht,d2,perse
pht_h2,402.862,23.4429,426.305,0.945009,pht,h2,perse
tw_a2,0.838823,0.438783,1.27761,0.656558,tw,a2,perse
tw_d2,0.500235,0.750047,1.25028,0.400098,tw,d2,perse
tw_h2,0.951851,0.337149,1.289,0.738441,tw,h2,perse
