frq1,sample,totvar,numsnp,nvar
0.1,0,0.019994323637,5909,3.38370682636656e-06
0.1,1,0.017774476007,5508,3.22702904992738e-06
0.1,2,0.018016499778,5609,3.21206984810127e-06
0.1,3,0.017803676751,5491,3.24233778018576e-06
0.1,4,0.018140661912,5677,3.19546625189361e-06
0.1,5,0.018335818377,5628,3.25796346428571e-06
0.1,6,0.018234170498,5683,3.20854662994897e-06
0.1,7,0.018401419907,5692,3.23285662456079e-06
0.1,8,0.01785969481,5541,3.22318982313662e-06
0.1,9,0.017975569778,5531,3.2499674160188e-06
0.1,10,0.018108197992,5602,3.23245233702249e-06
0.2,0,0.237961550471,62787,3.78998121380222e-06
0.2,1,0.262952173104,71930,3.65566763664674e-06
0.2,2,0.262169130035,71525,3.66541950415939e-06
0.2,3,0.263522858541,71938,3.66319411911646e-06
0.2,4,0.260680222401,71747,3.63332574743195e-06
0.2,5,0.26298009473,72130,3.64591840745876e-06
0.2,6,0.261513271083,71705,3.64707162796179e-06
0.2,7,0.262597815356,72116,3.64132530029397e-06
0.2,8,0.263643500643,71695,3.67729270720413e-06
0.2,9,0.261839264401,71608,3.65656441181153e-06
0.2,10,0.262998067601,72069,3.64925373740443e-06
0.3,0,0.022585697005,4524,4.99241755194518e-06
0.3,1,0.019514018842,4357,4.47877412026624e-06
0.3,2,0.020075805017,4453,4.50837750213339e-06
0.3,3,0.01992884553,4448,4.48040591951439e-06
0.3,4,0.019606896748,4433,4.42294084096549e-06
0.3,5,0.019783295109,4397,4.49927111871731e-06
0.3,6,0.019515803639,4404,4.43138138941871e-06
0.3,7,0.019545046011,4349,4.49414716279604e-06
0.3,8,0.019795405045,4406,4.49282910689968e-06
0.3,9,0.019828817914,4461,4.44492667877158e-06
0.3,10,0.018925079652,4252,4.45086539322672e-06
0.4,0,0.389666326161,83640,4.65885134099713e-06
0.4,1,0.392817057442,85665,4.58550233399872e-06
0.4,2,0.39098873479,85154,4.59154866230594e-06
0.4,3,0.389848595924,84883,4.59277589062592e-06
0.4,4,0.391928377476,84944,4.61396187459974e-06
0.4,5,0.390079084092,84691,4.60590953102455e-06
0.4,6,0.391938444376,85190,4.60075647817819e-06
0.4,7,0.392132618826,85102,4.60779557267749e-06
0.4,8,0.390664970524,85252,4.58247279270868e-06
0.4,9,0.391705492553,85206,4.59715856339929e-06
0.4,10,0.392187467363,85145,4.60611271786952e-06
0.5,0,0.075567246109,15515,4.87059272375121e-06
0.5,1,0.074869882431,15396,4.86294377961808e-06
0.5,2,0.075285068961,15415,4.88388381193643e-06
0.5,3,0.075769345229,15480,4.89466054450904e-06
0.5,4,0.076125829415,15539,4.89901727363408e-06
0.5,5,0.075276028703,15362,4.90014507896107e-06
0.5,6,0.075969508986,15573,4.87828350260065e-06
0.5,7,0.07519996752,15318,4.90925496278888e-06
0.5,8,0.074739667041,15463,4.83345192013193e-06
0.5,9,0.076095577485,15585,4.88261645717036e-06
0.5,10,0.074601395984,15231,4.89799724141553e-06
