frq,totvar,V1,nvar,sample
0.1,0.00021665074,20,0.10832537,0
0.15,1.040071e-05,1,0.1040071,0
0.2,0.00339480851,278,0.122115414028777,0
0.25,0.00668823802,530,0.126193170188679,0
0.3,0.00229004983,177,0.129381346327684,0
0.35,0.01592313974,1260,0.126374124920635,0
0.4,0.01806656328,1477,0.122319318077183,0
0.45,0.01060965817,766,0.138507286814621,0
0.5,0.0103332147,784,0.131801207908163,0
0.1,7.350133e-05,7,0.1050019,1
0.2,0.00245258071,198,0.123867712626263,1
0.25,0.00688200199,549,0.125355227504554,1
0.3,0.00161166386,125,0.1289331088,1
0.35,0.01763693557,1338,0.131815661958147,1
0.4,0.01758033332,1375,0.1278569696,1
0.45,0.0095915151,713,0.134523353436185,1
0.5,0.01161280631,906,0.1281766700883,1
0.1,3.140718e-05,3,0.1046906,2
0.2,0.00261969339,214,0.122415578971963,2
0.25,0.00703928554,571,0.123279956917688,2
0.3,0.00167945814,128,0.1312076671875,2
0.35,0.01926774844,1474,0.130717424966079,2
0.4,0.01857612463,1459,0.127320936463331,2
0.45,0.00920382818,685,0.134362455182482,2
0.5,0.01236145242,957,0.129168781818182,2
0.1,4.204204e-05,4,0.1051051,3
0.2,0.00302171372,244,0.123840726229508,3
0.25,0.00663900176,532,0.124793266165414,3
0.3,0.00167840379,134,0.125254014179104,3
0.35,0.0213676262,1711,0.124883846873174,3
0.4,0.01896885997,1542,0.123014656095979,3
0.45,0.0096950832,709,0.136743063469676,3
0.5,0.0118951944,906,0.131293536423841,3
0.1,3.153351e-05,3,0.1051117,4
0.2,0.0022691917,187,0.12134714973262,4
0.25,0.0071187151,573,0.124235865619546,4
0.3,0.00188308255,152,0.123887009868421,4
0.35,0.01832404524,1388,0.132017617002882,4
0.4,0.01868016872,1468,0.127249105722071,4
0.45,0.00944008802,703,0.134282902133713,4
0.5,0.01244113003,957,0.130001358725183,4
0.1,2.131034e-05,2,0.1065517,5
0.2,0.00240212574,196,0.122557435714286,5
0.25,0.00691335681,562,0.123013466370107,5
0.3,0.00176281631,133,0.132542579699248,5
0.35,0.01852358625,1410,0.13137295212766,5
0.4,0.01786605928,1412,0.126530164872521,5
0.45,0.00965930528,715,0.135095178741259,5
0.5,0.01260068726,973,0.12950346618705,5
0.1,7.385308e-05,7,0.1055044,6
0.2,0.00279193431,224,0.124639924553571,6
0.25,0.00635763202,516,0.123209922868217,6
0.3,0.00156926751,128,0.12259902421875,6
0.35,0.01910429343,1452,0.131572268801653,6
0.4,0.01804842719,1438,0.125510620236439,6
0.45,0.00940278497,693,0.135682322799423,6
0.5,0.01190584949,914,0.130260935339168,6
0.1,6.28008e-05,6,0.104668,7
0.2,0.00276740792,228,0.121377540350877,7
0.25,0.00646310982,519,0.12453005433526,7
0.3,0.00158398501,124,0.127740726612903,7
0.35,0.01935600645,1474,0.131316190298507,7
0.4,0.01799617953,1426,0.126200417461431,7
0.45,0.00937065005,688,0.136201308866279,7
0.5,0.01246363707,953,0.130783180167891,7
0.1,4.2034e-05,4,0.105085,8
0.2,0.00284110186,234,0.121414609401709,8
0.25,0.00707606464,569,0.124359659753954,8
0.3,0.0018465917,148,0.124769709459459,8
0.35,0.01823432566,1401,0.130152217416131,8
0.4,0.01828448662,1443,0.126711618988219,8
0.45,0.00886166815,661,0.134064571104387,8
0.5,0.01101531769,853,0.129136198007034,8
0.1,3.165258e-05,3,0.1055086,9
0.2,0.00252584936,205,0.123212163902439,9
0.25,0.0069524572,564,0.123270517730496,9
0.3,0.00169802333,132,0.128638131060606,9
0.35,0.01874982317,1417,0.132320558715596,9
0.4,0.01783211356,1415,0.126022003957597,9
0.45,0.00942684262,702,0.134285507407407,9
0.5,0.01212130872,933,0.129917563987138,9
0.1,7.38332e-05,7,0.105476,10
0.2,0.00246345176,200,0.123172588,10
0.25,0.00714027633,579,0.123320834715026,10
0.3,0.00157465148,124,0.126988022580645,10
0.35,0.01875052717,1436,0.130574701740947,10
0.4,0.01755077436,1395,0.125812002580645,10
0.45,0.00982020586,726,0.135264543526171,10
0.5,0.0120989728,923,0.131083128927411,10
